player;team;appearances;average_rating;fantasy_average;goals;goals_conceded;penalties;penalties_saved;assists;yellow_cards;red_cards;season
Pizarro;UDI;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Bertinato;VEN;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Grandi;VEN;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Jajalo;VEN;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Tessmann;VEN;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Lella;VEN;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Berardi A.;VER;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Okou;VER;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Ceccherini;VER;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Mitrovic S.;VER;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Tavsan;VER;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Cruz;VER;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Esteves G.;UDI;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Brancolini;EMP;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Ciocci;CAG;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Torriani;MIL;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Donnarumma An.;TOR;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Mazza;MON;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Marin Re.;ROM;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Dellavalle;TOR;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Cassa;ATA;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Byar;BOL;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Cisse' A.;VER;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Manzoni;ATA;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Kouda;PAR;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Vos;MIL;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Hasa;NAP;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Plizzari;VEN;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Kowalski;PAR;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Florenzi;MIL;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Arthur Melo;JUV;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Basic;LAZ;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Sansone;LEC;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Piana;UDI;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Selvik;UDI;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Marcone;PAR;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Ibrahimovic A.;LAZ;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Stolz;GEN;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Pedrola;BOL;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Slotsager;VER;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Cuenca H.;GEN;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Salama;TOR;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Azon;COM;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Scott;LEC;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Calligaris;INT;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Luan Patrick;VER;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
De Marzi;ROM;0;0.0;0.0;0;0;0 / 0;0;0;0;0;2024-25
Di Francesco F.;LEC;1;0.7;1.0;1;0;0 / 0;0;0;0;0;2023-24
Biraschi;GEN;1;0.65;0.95;1;0;0 / 0;0;0;0;0;2023-24
Martinez L.;INT;33;6.71;8.79;24;0;2 / 3;0;2;5;0;2023-24
Dybala;ROM;27;6.59;8.31;13;0;7 / 7;0;9;3;0;2023-24
Berardi;SAS;17;6.53;8.06;9;0;5 / 5;0;2;6;0;2023-24
Traore' C.;MIL;2;0.65;0.8;1;0;0 / 0;0;0;0;0;2023-24
Osimhen;NAP;25;6.36;7.88;15;0;3 / 5;0;2;4;1;2023-24
Scamacca;ATA;28;6.38;7.86;12;0;0 / 0;0;6;1;0;2023-24
Thuram;INT;35;6.51;7.79;13;0;0 / 0;0;7;3;0;2023-24
Gudmundsson A.;GEN;35;6.51;7.69;14;0;4 / 5;0;4;4;0;2023-24
Calhanoglu;INT;32;6.44;7.67;13;0;10 / 10;0;3;5;0;2023-24
Lookman;ATA;30;6.38;7.65;11;0;0 / 0;0;7;4;0;2023-24
Giroud;MIL;35;6.17;7.57;15;0;4 / 5;0;8;0;1;2023-24
Pulisic;MIL;36;6.38;7.54;12;0;0 / 0;0;7;2;0;2023-24
Niang;EMP;14;6.18;0.75;6;0;4 / 4;0;1;1;0;2023-24
De Ketelaere;ATA;34;6.38;7.43;10;0;1 / 1;0;8;1;0;2023-24
Vlahovic;JUV;33;6.17;7.41;16;0;2 / 4;0;3;6;1;2023-24
Koopmeiners;ATA;34;6.28;7.41;12;0;2 / 2;0;5;5;0;2023-24
Leao;MIL;34;6.37;7.35;9;0;0 / 0;0;9;5;0;2023-24
Zirkzee;BOL;34;6.37;7.34;11;0;2 / 2;0;4;8;0;2023-24
Soule';FRO;36;6.56;7.33;11;0;5 / 6;0;2;4;0;2023-24
Simic J.;MIL;3;6.33;7.33;1;0;0 / 0;0;0;0;0;2023-24
Zapata D.;TOR;37;6.19;7.3;13;0;0 / 0;0;3;2;0;2023-24
Noslin;VER;17;6.24;7.29;5;0;0 / 0;0;4;2;0;2023-24
Gonzalez N.;FIO;29;6.17;7.26;12;0;1 / 3;0;2;1;0;2023-24
Kvaratskhelia;NAP;34;6.22;7.22;11;0;0 / 0;0;5;8;0;2023-24
Dimarco;INT;30;6.45;7.15;5;0;0 / 0;0;6;0;0;2023-24
Chiesa;JUV;33;6.24;7.11;9;0;1 / 1;0;2;1;0;2023-24
Castrovilli;FIO;5;0.61;0.71;1;0;0 / 0;0;2;0;0;2023-24
Vitinha O.;GEN;6;6.17;7.08;2;0;0 / 0;0;0;2;0;2023-24
Aouar;ROM;13;6.23;7.04;4;0;0 / 0;0;0;3;0;2023-24
Lukaku;ROM;32;5.92;7.03;13;0;0 / 1;0;3;5;1;2023-24
Ferguson;BOL;31;6.47;7.02;6;0;0 / 0;0;3;8;0;2023-24
Pinsoglio;JUV;1;0.7;0.7;0;0;0 / 0;0;0;0;0;2023-24
Zarraga;UDI;8;6.25;0.7;2;0;0 / 0;0;0;0;0;2023-24
Orsolini;BOL;32;6.08;6.95;10;0;2 / 3;0;2;2;0;2023-24
Belotti;FIO;24;6.04;6.94;6;0;0 / 0;0;4;1;0;2023-24
Luis Alberto;LAZ;32;6.33;6.91;5;0;0 / 0;0;7;7;0;2023-24
Frattesi;INT;29;6.21;6.91;6;0;0 / 0;0;3;1;0;2023-24
Okafor;MIL;25;6.12;0.69;6;0;0 / 0;0;2;1;0;2023-24
Pellegrini Lo.;ROM;29;6.07;6.88;8;0;1 / 1;0;3;7;0;2023-24
Radonjic;TOR;8;5.75;6.88;3;0;0 / 0;0;0;1;0;2023-24
Ngonge;NAP;29;6.07;6.86;7;0;0 / 0;0;2;6;0;2023-24
Pasalic;ATA;33;6.17;6.85;6;0;2 / 2;0;6;3;0;2023-24
Arnautovic;INT;24;6.1;6.85;5;0;0 / 0;0;3;0;0;2023-24
Gaetano;CAG;17;6.09;6.85;5;0;1 / 1;0;0;2;1;2023-24
Zurkowski;EMP;13;6.08;6.85;4;0;0 / 0;0;0;4;0;2023-24
Pavoletti;CAG;16;6.16;6.84;4;0;0 / 0;0;1;4;0;2023-24
Maldini;MON;18;6.14;6.83;4;0;0 / 0;0;1;1;0;2023-24
Bisseck;INT;11;6.18;6.82;2;0;0 / 0;0;1;0;0;2023-24
Bonaventura;FIO;31;6.13;6.81;8;0;0 / 1;0;3;6;0;2023-24
Sanchez;INT;18;6.19;6.81;2;0;1 / 1;0;5;0;0;2023-24
Politano;NAP;37;6.11;6.78;8;0;2 / 3;0;7;2;1;2023-24
Odgaard;BOL;9;0.6;6.78;2;0;0 / 0;0;1;1;0;2023-24
Fabbian;BOL;23;6.15;6.76;5;0;0 / 0;0;1;4;0;2023-24
El Azzouzi;BOL;10;6.15;6.75;2;0;0 / 0;0;2;4;0;2023-24
Candreva;SAL;34;6.07;6.74;6;0;1 / 1;0;7;5;0;2023-24
Zaccagni;LAZ;28;6.2;6.73;6;0;0 / 0;0;1;8;0;2023-24
Colpani;MON;38;0.6;6.72;8;0;0 / 0;0;4;1;0;2023-24
Harroui;FRO;17;6.06;6.71;3;0;1 / 1;0;3;2;0;2023-24
Cheddira;FRO;32;6.02;6.7;7;0;1 / 1;0;1;0;0;2023-24
Thauvin;UDI;27;6.09;6.69;5;0;1 / 1;0;3;4;0;2023-24
Beltran L.;FIO;30;6.15;6.68;6;0;1 / 1;0;1;6;0;2023-24
Jovic;MIL;21;5.86;6.67;6;0;0 / 0;0;1;2;1;2023-24
Hernandez T.;MIL;32;6.38;6.66;5;0;1 / 2;0;3;10;1;2023-24
Azmoun;ROM;16;6.16;6.66;3;0;0 / 0;0;0;4;0;2023-24
Miranchuk;ATA;23;6.07;6.65;3;0;0 / 0;0;5;1;0;2023-24
Barak;FIO;14;6.14;6.64;2;0;0 / 0;0;2;2;0;2023-24
Samardzic;UDI;34;6.09;6.63;6;0;1 / 1;0;2;3;0;2023-24
Dumfries;INT;31;6.21;6.63;4;0;0 / 0;0;3;2;1;2023-24
Djuric;MON;36;6.04;6.62;9;0;1 / 3;0;2;4;0;2023-24
Retegui;GEN;29;5.91;6.62;7;0;1 / 1;0;2;5;0;2023-24
Lucca;UDI;35;5.93;6.61;8;0;0 / 0;0;3;6;0;2023-24
Mkhitaryan;INT;36;6.32;6.6;2;0;0 / 0;0;6;4;0;2023-24
Buongiorno;TOR;29;6.41;6.6;3;0;0 / 0;0;0;7;0;2023-24
Vecino;LAZ;27;6.02;6.59;6;0;0 / 0;0;1;8;0;2023-24
Calafiori;BOL;28;6.38;6.59;2;0;0 / 0;0;4;4;0;2023-24
De Silvestri;BOL;13;6.12;6.58;2;0;0 / 0;0;0;0;0;2023-24
Ravaglia F.;BOL;6;6.58;6.58;0;3;0 / 0;1;0;0;0;2023-24
Bremer;JUV;36;6.46;6.58;3;0;0 / 0;0;0;9;0;2023-24
Zortea;FRO;19;6.11;6.58;2;0;0 / 0;0;5;4;0;2023-24
Pinamonti;SAS;37;5.78;6.57;11;0;2 / 3;0;1;4;0;2023-24
Ekuban;GEN;24;6.02;6.56;4;0;0 / 0;0;1;0;0;2023-24
Ibrahimovic A.;FRO;8;6.12;6.56;1;0;0 / 0;0;1;1;0;2023-24
Mazzitelli;FRO;29;6.14;6.55;5;0;0 / 0;0;0;4;1;2023-24
Simy;SAL;11;5.73;6.55;3;0;0 / 0;0;0;0;0;2023-24
Rabiot;JUV;31;6.13;6.55;5;0;0 / 0;0;2;8;0;2023-24
Luvumbo;CAG;30;6.07;6.55;4;0;0 / 0;0;5;5;0;2023-24
Viola;CAG;25;6.04;6.54;5;0;0 / 1;0;2;3;0;2023-24
Swiderski;VER;13;6.08;6.54;2;0;0 / 0;0;0;0;0;2023-24
Muriel;ATA;15;6.07;6.53;2;0;0 / 0;0;1;0;0;2023-24
Loftus-Cheek;MIL;29;5.97;6.53;6;0;0 / 0;0;1;5;0;2023-24
Acerbi;INT;29;6.19;6.52;3;0;0 / 0;0;1;1;0;2023-24
Di Gennaro;INT;1;0.65;0.65;0;0;0 / 0;0;0;0;0;2023-24
Davis K.;UDI;6;6.17;0.65;1;0;0 / 0;0;0;2;0;2023-24
Asllani;INT;17;6.24;0.65;1;0;0 / 0;0;2;1;0;2023-24
Castro S.;BOL;6;6.08;0.65;1;0;0 / 0;0;0;1;0;2023-24
Milik;JUV;24;6.02;6.48;4;0;0 / 0;0;1;2;1;2023-24
Ederson D.s.;ATA;36;6.06;6.47;6;0;0 / 0;0;1;8;0;2023-24
Saelemaekers;BOL;30;6.07;6.45;4;0;0 / 0;0;3;5;1;2023-24
Dragusin;GEN;19;6.11;6.45;2;0;0 / 0;0;1;1;0;2023-24
Arthur Melo;FIO;32;6.22;6.44;2;0;1 / 1;0;2;2;0;2023-24
Malinovskyi;GEN;25;6.06;6.44;4;0;0 / 0;0;1;7;0;2023-24
Vlasic;TOR;33;6.15;6.44;3;0;0 / 0;0;2;3;0;2023-24
Toure' E.;ATA;9;5.89;6.44;2;0;0 / 0;0;0;2;0;2023-24
Rugani;JUV;14;6.07;6.43;2;0;0 / 0;0;0;2;0;2023-24
Buchanan T.;INT;7;0.6;6.43;1;0;0 / 0;0;0;0;0;2023-24
Di Lorenzo;NAP;36;6.28;6.42;1;0;0 / 0;0;5;6;0;2023-24
Sottil;FIO;19;5.97;6.42;2;0;0 / 0;0;3;1;0;2023-24
Lauriente';SAS;37;5.95;6.42;5;0;0 / 0;0;5;5;0;2023-24
Felipe Anderson;LAZ;38;5.89;6.41;5;0;0 / 0;0;6;3;0;2023-24
Barella;INT;37;6.26;6.41;2;0;0 / 0;0;3;7;0;2023-24
Pereyra;UDI;26;5.94;6.4;4;0;1 / 1;0;3;6;0;2023-24
Bennacer;MIL;20;6.05;0.64;2;0;1 / 1;0;2;2;0;2023-24
De Vrij;INT;22;6.25;6.39;1;0;0 / 0;0;0;0;0;2023-24
Duncan;FIO;28;6.04;6.39;2;0;0 / 0;0;5;2;0;2023-24
Raspadori;NAP;33;5.94;6.39;5;0;0 / 1;0;3;0;0;2023-24
Elmas;NAP;9;5.83;6.39;2;0;0 / 0;0;0;2;0;2023-24
Frendrup;GEN;37;6.2;6.39;2;0;0 / 0;0;4;6;0;2023-24
Maric;MON;9;6.06;6.39;1;0;0 / 0;0;0;0;0;2023-24
Zielinski;NAP;28;0.6;6.38;3;0;1 / 1;0;2;1;0;2023-24
Bastoni;INT;28;6.25;6.38;1;0;0 / 0;0;3;5;0;2023-24
Shomurodov;CAG;20;0.58;6.38;3;0;0 / 0;0;3;1;0;2023-24
Martinez Quarta;FIO;28;0.6;6.38;5;0;0 / 0;0;0;9;0;2023-24
Dia;SAL;17;5.71;6.38;4;0;1 / 1;0;0;1;0;2023-24
Lykogiannis;BOL;18;5.97;6.36;2;0;0 / 0;0;2;2;0;2023-24
Ilic;TOR;28;6.05;6.36;3;0;0 / 0;0;1;3;0;2023-24
Carboni V.;MON;25;6.06;6.36;2;0;0 / 0;0;2;2;0;2023-24
Immobile;LAZ;30;5.75;6.35;7;0;4 / 4;0;1;8;0;2023-24
Lapadula;CAG;22;0.6;6.34;3;0;1 / 1;0;0;3;0;2023-24
Pessina;MON;37;5.95;6.34;6;0;4 / 5;0;2;3;1;2023-24
Tchaouna;SAL;31;5.92;6.34;4;0;0 / 0;0;3;4;0;2023-24
Colombo;MON;23;5.83;6.33;4;0;0 / 0;0;1;3;0;2023-24
Darmian;INT;33;6.14;6.32;2;0;0 / 0;0;1;2;0;2023-24
Kouame';FIO;20;5.98;6.32;2;0;0 / 0;0;1;0;0;2023-24
Fagioli;JUV;8;6.12;6.31;0;0;0 / 0;0;2;1;0;2023-24
Isaksen;LAZ;24;5.94;6.31;3;0;0 / 0;0;1;3;0;2023-24
Yildiz;JUV;21;6.07;6.31;2;0;0 / 0;0;0;3;0;2023-24
Tomori;MIL;25;5.98;0.63;4;0;0 / 0;0;0;6;1;2023-24
Pavard;INT;21;6.33;6.29;0;0;0 / 0;0;2;6;0;2023-24
Bellanova;TOR;36;6.08;6.29;1;0;0 / 0;0;7;5;0;2023-24
Oudin;LEC;31;5.98;6.29;3;0;0 / 0;0;2;3;0;2023-24
Patric;LAZ;20;6.08;6.28;2;0;0 / 0;0;0;4;0;2023-24
Paredes;ROM;34;6.13;6.28;3;0;3 / 3;0;4;14;1;2023-24
El Shaarawy;ROM;30;5.95;6.28;3;0;0 / 0;0;2;2;0;2023-24
Schuurs;TOR;9;6.06;6.28;1;0;0 / 0;0;0;2;0;2023-24
Mina;CAG;15;6.03;6.27;2;0;1 / 1;0;0;5;0;2023-24
Suslov;VER;31;5.94;6.27;3;0;1 / 1;0;5;7;0;2023-24
Sansone;LEC;23;0.6;6.26;2;0;0 / 0;0;2;4;0;2023-24
Cristante;ROM;37;6.01;6.26;3;0;0 / 0;0;4;8;0;2023-24
Thorstvedt;SAS;34;5.81;6.26;6;0;0 / 0;0;1;7;0;2023-24
Mota;MON;33;5.85;6.26;4;0;0 / 0;0;3;3;0;2023-24
Sensi;INT;2;6.25;6.25;0;0;0 / 0;0;0;0;0;2023-24
Reinier;FRO;16;5.91;6.25;2;0;0 / 0;0;1;3;0;2023-24
Iling Junior;JUV;20;6.02;6.25;1;0;0 / 0;0;2;1;0;2023-24
Kayode;FIO;26;6.13;6.25;1;0;0 / 0;0;1;2;0;2023-24
Sanabria;TOR;35;5.84;6.24;5;0;2 / 2;0;0;2;0;2023-24
Messias;GEN;17;6.06;6.24;1;0;0 / 0;0;0;0;0;2023-24
Reijnders;MIL;36;5.99;6.24;3;0;0 / 0;0;4;8;0;2023-24
Folorunsho;VER;33;5.83;6.24;5;0;0 / 0;0;1;5;0;2023-24
Bonazzoli;VER;24;5.85;6.23;3;0;0 / 0;0;1;2;0;2023-24
Defrel;SAS;16;5.91;6.22;1;0;0 / 0;0;2;0;0;2023-24
Mandragora;FIO;29;5.88;6.22;3;0;0 / 0;0;3;5;0;2023-24
Vignato S.;MON;9;0.6;6.22;1;0;0 / 0;0;0;2;0;2023-24
Rodriguez R.;TOR;35;6.16;6.21;1;0;0 / 0;0;1;4;0;2023-24
Abraham;ROM;7;5.86;6.21;1;0;0 / 0;0;0;1;0;2023-24
Monterisi;FRO;19;5.82;6.21;2;0;0 / 0;0;2;1;0;2023-24
Cambiaso;JUV;34;6.09;6.21;2;0;0 / 0;0;3;10;0;2023-24
Banda;LEC;21;5.95;6.21;2;0;0 / 0;0;3;5;1;2023-24
Castellanos;LAZ;33;5.79;6.21;4;0;0 / 0;0;3;2;0;2023-24
Alex Sandro;JUV;10;5.95;0.62;1;0;0 / 0;0;0;1;0;2023-24
Cuadrado;INT;10;6.05;0.62;0;0;0 / 0;0;2;1;0;2023-24
Renato Sanches;ROM;5;0.58;0.62;1;0;0 / 0;0;0;2;0;2023-24
Biraghi;FIO;29;6.05;6.19;2;0;0 / 1;0;5;8;0;2023-24
Mancini;ROM;35;5.97;6.19;4;0;0 / 0;0;0;9;0;2023-24
Chukwueze;MIL;21;5.98;6.19;1;0;0 / 0;0;2;1;0;2023-24
Henry;VER;13;5.85;6.19;3;0;0 / 1;0;0;2;1;2023-24
Carlos Augusto;INT;34;6.12;6.19;0;0;0 / 0;0;3;1;0;2023-24
Oristanio;CAG;24;5.92;6.19;2;0;0 / 0;0;1;1;0;2023-24
Brekalo;FIO;11;5.91;6.18;1;0;0 / 0;0;0;0;0;2023-24
Piccoli;LEC;34;5.81;6.18;5;0;1 / 1;0;0;5;0;2023-24
Gabbia;MIL;17;5.97;6.18;2;0;0 / 0;0;0;5;0;2023-24
Scalvini;ATA;33;6.05;6.18;1;0;0 / 0;0;3;3;0;2023-24
Krstovic;LEC;34;5.79;6.18;7;0;1 / 3;0;1;4;1;2023-24
Thorsby;GEN;21;5.83;6.17;2;0;0 / 0;0;2;2;0;2023-24
Lovric;UDI;29;6.05;6.17;1;0;0 / 0;0;2;1;1;2023-24
Baldanzi;ROM;25;5.98;6.16;2;0;0 / 0;0;0;3;0;2023-24
Gatti;JUV;32;6.02;6.16;4;0;0 / 0;0;0;7;0;2023-24
Kamada;LAZ;26;5.94;6.15;2;0;0 / 0;0;1;3;0;2023-24
Karsdorp;ROM;18;6.08;6.14;0;0;0 / 0;0;2;2;0;2023-24
Vojvoda;TOR;21;6.07;6.14;0;0;0 / 0;0;3;3;0;2023-24
Cuni;FRO;11;5.86;6.14;1;0;0 / 0;0;0;0;0;2023-24
Pierotti;LEC;7;0.6;6.14;0;0;0 / 0;0;1;0;0;2023-24
Locatelli;JUV;35;6.01;6.13;1;0;0 / 0;0;4;6;0;2023-24
Maggiore;SAL;27;5.81;6.13;4;0;0 / 0;0;1;7;1;2023-24
Vasquez;GEN;35;0.61;6.13;1;0;0 / 0;0;1;6;0;2023-24
Badelj;GEN;33;6.03;6.12;1;0;0 / 0;0;3;6;0;2023-24
Spinazzola;ROM;24;5.92;6.12;1;0;0 / 0;0;2;0;0;2023-24
Caputo;EMP;20;5.68;6.12;3;0;1 / 1;0;0;0;0;2023-24
Danilo;JUV;28;6.11;6.12;1;0;0 / 0;0;1;7;0;2023-24
Rrahmani;NAP;30;0.59;6.12;3;0;0 / 0;0;0;5;0;2023-24
Kovalenko;EMP;16;5.91;6.12;1;0;0 / 0;0;1;1;0;2023-24
Huijsen;ROM;12;5.96;6.12;2;0;0 / 0;0;0;4;0;2023-24
Guendouzi;LAZ;33;5.91;6.11;2;0;0 / 0;0;3;3;1;2023-24
McKennie;JUV;33;5.98;6.11;0;0;0 / 0;0;7;6;0;2023-24
Racic;SAS;18;5.92;6.11;1;0;0 / 0;0;1;1;0;2023-24
De Roon;ATA;30;0.61;0.61;0;0;0 / 0;0;5;10;0;2023-24
Adopo;ATA;5;0.59;0.61;0;0;0 / 0;0;1;0;0;2023-24
Carboni A.;MON;21;5.98;6.1;1;0;0 / 0;0;0;1;0;2023-24
Brescianini;FRO;34;5.74;6.1;4;0;0 / 0;0;1;1;0;2023-24
Jovane;SAL;10;5.85;0.61;1;0;0 / 0;0;0;1;0;2023-24
Corazza;BOL;5;0.62;0.61;0;0;0 / 0;0;0;1;0;2023-24
Luperto;EMP;38;6.04;6.09;1;0;0 / 0;0;1;4;0;2023-24
Florenzi;MIL;27;5.91;6.09;1;0;0 / 0;0;4;5;0;2023-24
Gendrey;LEC;37;5.92;6.09;2;0;0 / 0;0;3;5;0;2023-24
Adli;MIL;22;5.93;6.09;1;0;0 / 0;0;2;3;0;2023-24
Kristiansen;BOL;32;6.06;6.09;0;0;0 / 0;0;3;4;0;2023-24
Zappacosta;ATA;31;5.94;6.08;2;0;0 / 0;0;1;5;0;2023-24
Marchizza;FRO;13;5.88;6.08;0;0;0 / 0;0;3;1;0;2023-24
Calabria;MIL;29;5.98;6.07;1;0;0 / 0;0;3;3;2;2023-24
Lobotka;NAP;38;6.09;6.07;0;0;0 / 0;0;1;4;0;2023-24
Nicolussi Caviglia;JUV;7;0.6;6.07;0;0;0 / 0;0;1;1;0;2023-24
Ikone';FIO;27;5.8;6.07;3;0;0 / 0;0;1;5;0;2023-24
Bajrami;SAS;26;5.75;6.06;2;0;0 / 0;0;2;0;0;2023-24
Cancellieri;EMP;35;5.76;6.06;4;0;0 / 0;0;2;7;0;2023-24
Kaio Jorge;FRO;17;5.76;6.06;3;0;1 / 2;0;0;2;0;2023-24
Ndoye;BOL;31;0.6;6.06;1;0;0 / 0;0;1;4;0;2023-24
Lindstrom;NAP;16;6.06;6.06;0;0;0 / 0;0;0;2;0;2023-24
Lazovic;VER;31;5.73;6.05;3;0;1 / 1;0;2;0;1;2023-24
Freuler;BOL;32;6.09;6.05;1;0;0 / 0;0;0;9;0;2023-24
Lazaro;TOR;30;0.6;6.05;0;0;0 / 0;0;3;3;0;2023-24
Kostic;JUV;29;5.98;6.05;0;0;0 / 0;0;3;2;0;2023-24
Ostigard;NAP;21;5.95;6.05;1;0;0 / 0;0;0;2;0;2023-24
Lucumi';BOL;28;6.09;6.05;0;0;0 / 0;0;0;2;0;2023-24
Lirola;FRO;24;5.77;6.04;2;0;0 / 0;0;1;1;0;2023-24
Kastanos;SAL;24;5.75;6.04;3;0;0 / 0;0;0;5;0;2023-24
Cambiaghi;EMP;36;5.96;6.03;1;0;0 / 0;0;1;3;0;2023-24
Holm;ATA;18;5.89;6.03;1;0;0 / 0;0;1;5;0;2023-24
Moro N.;BOL;19;5.87;6.03;1;0;0 / 0;0;0;0;0;2023-24
Dorgu;LEC;29;5.93;6.03;2;0;0 / 0;0;0;6;0;2023-24
Bani;GEN;27;5.96;6.02;2;0;0 / 0;0;0;9;0;2023-24
Pedro;LAZ;27;5.94;6.02;1;0;0 / 0;0;1;4;0;2023-24
Ruggeri;ATA;33;5.91;6.02;0;0;0 / 0;0;5;3;0;2023-24
Gomez;MON;2;0.6;0.6;0;0;0 / 0;0;0;0;0;2023-24
Pogba;JUV;2;0.6;0.6;0;0;0 / 0;0;0;0;0;2023-24
Lulic K.;FRO;1;0.6;0.6;0;0;0 / 0;0;0;0;0;2023-24
Baez;FRO;10;5.75;0.6;1;0;0 / 0;0;0;1;0;2023-24
Palomino;ATA;2;0.6;0.6;0;0;0 / 0;0;0;0;0;2023-24
Kjaer;MIL;17;5.97;0.6;0;0;0 / 0;0;1;1;0;2023-24
Contini;NAP;1;0.6;0.6;0;0;0 / 0;0;0;0;0;2023-24
Dendoncker;NAP;1;0.6;0.6;0;0;0 / 0;0;0;0;0;2023-24
N'Dicka;ROM;25;0.6;0.6;0;0;0 / 0;0;3;6;0;2023-24
Demme;NAP;2;5.75;0.6;0;0;0 / 0;0;1;1;0;2023-24
Angelino;ROM;16;6.06;0.6;0;0;0 / 0;0;2;2;0;2023-24
Quina;UDI;1;0.6;0.6;0;0;0 / 0;0;0;0;0;2023-24
Nzola;FIO;30;5.67;0.6;3;0;1 / 1;0;2;2;0;2023-24
Djalo';JUV;1;0.6;0.6;0;0;0 / 0;0;0;0;0;2023-24
Zima;TOR;3;0.6;0.6;0;0;0 / 0;0;0;0;0;2023-24
Guessand A.;UDI;1;0.6;0.6;0;0;0 / 0;0;0;0;0;2023-24
Vivaldo;UDI;1;0.6;0.6;0;0;0 / 0;0;0;0;0;2023-24
Belahyane;VER;2;0.6;0.6;0;0;0 / 0;0;0;0;0;2023-24
Beukema;BOL;30;0.6;0.6;1;0;0 / 0;0;0;4;1;2023-24
Almqvist;LEC;30;5.85;0.6;2;0;0 / 0;0;1;5;0;2023-24
Dossena;CAG;35;0.59;0.6;2;0;0 / 0;0;4;5;0;2023-24
Vogliacco;GEN;15;6.07;0.6;0;0;0 / 0;0;1;4;0;2023-24
Burnete;LEC;1;0.6;0.6;0;0;0 / 0;0;0;0;0;2023-24
Bonfanti;ATA;2;0.6;0.6;0;0;0 / 0;0;0;0;0;2023-24
Kutlu;GEN;6;0.6;0.6;0;0;0 / 0;0;0;0;0;2023-24
Comuzzo;FIO;2;6.25;0.6;0;0;0 / 0;0;0;1;0;2023-24
Bartesaghi;MIL;3;0.6;0.6;0;0;0 / 0;0;0;0;0;2023-24
Djimsiti;ATA;37;6.01;5.99;0;0;0 / 0;0;1;4;0;2023-24
Romagnoli S.;FRO;33;5.98;5.98;1;0;0 / 0;0;0;6;0;2023-24
Kyriakopoulos;MON;27;5.93;5.98;0;0;0 / 0;0;3;3;0;2023-24
Mari';MON;33;6.09;5.98;0;0;0 / 0;0;0;7;0;2023-24
Kamara H.;UDI;31;5.95;5.98;1;0;0 / 0;0;0;4;0;2023-24
Coppola D.;VER;20;0.59;5.98;2;0;0 / 0;0;0;9;0;2023-24
Kolasinac;ATA;29;5.93;5.97;1;0;0 / 0;0;0;4;0;2023-24
