player;team;appearances;average_rating;fantasy_average;goals;goals_conceded;penalties;penalties_saved;assists;yellow_cards;red_cards;season
Tchaouna;LAZ;20;5.72;5.78;1;0;0 / 0;0;0;2;1;2024-25
Ehizibue;UDI;32;5.83;5.78;0;0;0 / 0;0;1;5;0;2024-25
Tchatchoua;VER;36;5.64;5.78;2;0;0 / 0;0;3;6;1;2024-25
Coulibaly L.;LEC;37;5.74;5.78;1;0;0 / 0;0;0;3;0;2024-25
Dembele' A.;TOR;9;5.56;5.78;1;0;0 / 0;0;0;0;1;2024-25
Goldaniga;COM;30;5.87;5.77;1;0;0 / 0;0;0;10;1;2024-25
Vogliacco;PAR;22;5.7;5.77;2;0;0 / 0;0;0;5;0;2024-25
Pessina;MON;11;5.86;5.77;0;0;0 / 0;0;0;2;0;2024-25
Lazzari;LAZ;23;5.78;5.76;0;0;0 / 0;0;1;3;0;2024-25
Sosa B.;TOR;19;5.76;5.76;0;0;0 / 0;0;0;0;0;2024-25
Karamoh;TOR;23;5.76;5.76;0;0;0 / 0;0;1;2;0;2024-25
Kone B.;COM;2;0.6;5.75;0;0;0 / 0;0;0;1;0;2024-25
Kayode;FIO;2;5.75;5.75;0;0;0 / 0;0;0;0;0;2024-25
Marcandalli;VEN;8;5.88;5.75;0;0;0 / 0;0;0;2;0;2024-25
Caldirola;MON;14;5.89;5.75;0;0;0 / 0;0;0;4;0;2024-25
Meret;NAP;34;6.37;5.75;0;25;0 / 0;2;0;0;0;2024-25
Dahl;ROM;2;5.75;5.75;0;0;0 / 0;0;0;0;0;2024-25
Pierini;VEN;2;5.75;5.75;0;0;0 / 0;0;0;0;0;2024-25
Faraoni;VER;6;5.75;5.75;0;0;0 / 0;0;0;0;0;2024-25
Belahyane;LAZ;28;5.82;5.75;0;0;0 / 0;0;2;4;2;2024-25
Rocha Livramento;VER;24;5.67;5.75;1;0;0 / 0;0;1;2;1;2024-25
Adzic;JUV;2;5.75;5.75;0;0;0 / 0;0;0;0;0;2024-25
Raimondo;VEN;2;5.75;5.75;0;0;0 / 0;0;0;0;0;2024-25
Sanchez;UDI;12;5.75;5.75;0;0;0 / 0;0;0;0;0;2024-25
Amrabat;FIO;2;5.75;5.75;0;0;0 / 0;0;0;0;0;2024-25
Pelmard;LEC;2;0.6;5.75;0;0;0 / 0;0;0;1;0;2024-25
Njie;TOR;10;0.58;5.75;0;0;0 / 0;0;0;1;0;2024-25
Jimenez A.;MIL;22;5.89;5.75;0;0;0 / 0;0;0;6;0;2024-25
Vlahovic V.;ATA;2;5.75;5.75;0;0;0 / 0;0;0;0;0;2024-25
Martins K.;MON;6;5.67;5.75;0;0;0 / 0;0;1;1;0;2024-25
Provstgaard;LAZ;2;0.6;5.75;0;0;0 / 0;0;0;1;0;2024-25
Kelly L.;JUV;12;5.79;5.75;0;0;0 / 0;0;0;1;0;2024-25
Henderson L.;EMP;35;5.77;5.74;0;0;0 / 0;0;4;10;0;2024-25
Lapadula;CAG;11;5.77;5.73;0;0;0 / 0;0;0;1;0;2024-25
Casale;BOL;15;5.83;5.73;0;0;0 / 0;0;1;1;0;2024-25
Pierret;LEC;30;5.77;5.73;0;0;0 / 0;0;0;2;0;2024-25
Maric;VEN;11;5.73;5.73;0;0;0 / 0;0;0;0;0;2024-25
Schingtienne;VEN;15;0.58;5.73;0;0;0 / 0;0;0;2;0;2024-25
Patric;LAZ;9;5.56;5.72;1;0;0 / 0;0;0;2;0;2024-25
Loftus-Cheek;MIL;18;5.81;5.72;0;0;0 / 0;0;0;3;0;2024-25
Bradaric;VER;27;5.72;5.72;1;0;0 / 0;0;0;6;0;2024-25
Walukiewicz;TOR;28;5.8;5.71;0;0;0 / 0;0;0;6;0;2024-25
Grassi;EMP;28;5.79;5.71;1;0;0 / 0;0;0;8;1;2024-25
Oudin;LEC;7;5.79;5.71;0;0;0 / 0;0;0;1;0;2024-25
Ngonge;NAP;7;5.79;5.71;0;0;0 / 0;0;0;2;0;2024-25
Valentini N.;VER;14;5.89;5.71;0;0;0 / 0;0;0;3;1;2024-25
N'Dri;LEC;7;5.71;5.71;0;0;0 / 0;0;0;0;0;2024-25
Prati;CAG;10;5.75;0.57;0;0;0 / 0;0;0;1;0;2024-25
Goglichidze;EMP;33;5.74;5.7;0;0;0 / 0;0;1;3;1;2024-25
Bianco;MON;35;5.74;0.57;1;0;0 / 0;0;0;9;0;2024-25
Perin;JUV;5;0.63;0.57;0;3;0 / 0;0;0;0;0;2024-25
Linetty;TOR;23;5.7;5.7;1;0;0 / 0;0;0;6;0;2024-25
Doumbia I.;VEN;20;0.57;0.57;0;0;0 / 0;0;0;0;0;2024-25
Rouhi;JUV;5;0.57;0.57;0;0;0 / 0;0;0;0;0;2024-25
Keita M.;PAR;28;5.77;5.7;0;0;0 / 0;0;1;4;1;2024-25
Pongracic;FIO;18;5.89;5.69;0;0;0 / 0;0;0;1;1;2024-25
Gallo;LEC;31;5.82;5.68;0;0;0 / 0;0;2;3;1;2024-25
Milinkovic-Savic V.;TOR;37;6.53;5.68;0;42;0 / 0;4;0;3;0;2024-25
Bohinen;GEN;3;5.67;5.67;0;0;0 / 0;0;0;0;0;2024-25
Rafia;LEC;18;5.78;5.67;0;0;0 / 0;0;0;4;0;2024-25
Musah;MIL;27;5.69;5.67;0;0;0 / 0;0;2;5;0;2024-25
Zeroli;MON;9;5.67;5.67;0;0;0 / 0;0;0;0;0;2024-25
Ghilardi;VER;24;5.85;5.67;0;0;0 / 0;0;0;7;1;2024-25
Balotelli;GEN;3;5.83;5.67;0;0;0 / 0;0;0;2;0;2024-25
Oyegoke;VER;3;5.83;5.67;0;0;0 / 0;0;0;1;0;2024-25
Iovine;COM;7;5.79;5.64;0;0;0 / 0;0;0;2;0;2024-25
Izzo;MON;29;5.71;5.64;1;0;0 / 0;0;1;12;0;2024-25
Gagliardini;MON;7;5.71;5.64;0;0;0 / 0;0;0;1;0;2024-25
Mazzocchi;NAP;11;5.68;5.64;0;0;0 / 0;0;0;2;0;2024-25
Norton-Cuffy;GEN;11;5.64;5.64;0;0;0 / 0;0;0;0;0;2024-25
Atta;UDI;25;5.74;5.64;0;0;0 / 0;0;0;5;0;2024-25
Onana J.;GEN;7;5.71;5.64;0;0;0 / 0;0;0;1;0;2024-25
Ndour;FIO;7;5.71;5.64;0;0;0 / 0;0;0;1;0;2024-25
Suslov;VER;31;5.71;5.63;0;0;0 / 0;0;1;5;1;2024-25
Carboni A.;MON;26;5.63;5.62;0;0;0 / 0;0;2;5;0;2024-25
Maleh;EMP;22;5.68;5.61;0;0;0 / 0;0;1;3;1;2024-25
Thiaw;MIL;22;5.93;5.61;0;0;0 / 0;0;0;2;0;2024-25
Tameze;TOR;15;5.67;0.56;0;0;0 / 0;0;0;3;0;2024-25
Carboni F.;VEN;5;0.58;0.56;0;0;0 / 0;0;0;2;0;2024-25
Matturro;GEN;12;5.67;5.58;0;0;0 / 0;0;0;2;0;2024-25
Vignato S.;MON;13;5.58;5.58;0;0;0 / 0;0;0;0;0;2024-25
Le Fee;ROM;6;5.67;5.58;0;0;0 / 0;0;0;1;0;2024-25
Giannetti L.;UDI;13;5.81;5.58;1;0;0 / 0;0;0;4;0;2024-25
Pedersen;TOR;24;5.65;5.58;0;0;0 / 0;0;0;3;0;2024-25
Gourna-Douath;ROM;6;5.75;5.58;0;0;0 / 0;0;0;2;0;2024-25
Bondo;MIL;23;5.7;5.57;0;0;0 / 0;0;0;4;1;2024-25
Magnani;VER;14;5.43;5.57;1;0;0 / 0;0;0;2;0;2024-25
Daniliuc;VER;15;5.57;5.57;0;0;0 / 0;0;0;0;0;2024-25
Solbakken;EMP;18;5.61;5.56;0;0;0 / 0;0;0;2;0;2024-25
Duncan;VEN;14;5.61;5.54;0;0;0 / 0;0;0;2;0;2024-25
Thorsby;GEN;30;5.65;5.53;0;0;0 / 0;0;1;5;0;2024-25
Pereira P.;MON;34;5.53;5.53;1;0;0 / 0;0;2;10;0;2024-25
Wieteska;CAG;5;0.56;0.55;0;0;0 / 0;0;0;1;0;2024-25
Barba;COM;6;0.55;0.55;0;0;0 / 0;0;0;0;0;2024-25
Sala M.;LEC;7;5.71;0.55;0;0;0 / 0;0;0;3;0;2024-25
Baselli;COM;1;0.55;0.55;0;0;0 / 0;0;0;0;0;2024-25
Barak;FIO;1;0.55;0.55;0;0;0 / 0;0;0;0;0;2024-25
Ankeye;GEN;1;0.55;0.55;0;0;0 / 0;0;0;0;0;2024-25
Terracciano F.;MIL;8;5.62;0.55;0;0;0 / 0;0;0;3;0;2024-25
Bennacer;MIL;6;5.67;0.55;0;0;0 / 0;0;0;2;0;2024-25
D'Ambrosio;MON;17;5.62;0.55;0;0;0 / 0;0;0;2;1;2024-25
Valoti;MON;1;0.6;0.55;0;0;0 / 0;0;0;1;0;2024-25
Cyprien;PAR;2;0.55;0.55;0;0;0 / 0;0;0;0;0;2024-25
Bonifazi;LEC;2;0.55;0.55;0;0;0 / 0;0;0;0;0;2024-25
Kasa;GEN;3;0.55;0.55;0;0;0 / 0;0;0;0;0;2024-25
Jack;COM;2;5.75;0.55;0;0;0 / 0;0;0;1;0;2024-25
Brorsson;MON;5;0.55;0.55;0;0;0 / 0;0;0;0;0;2024-25
Perciun;TOR;2;0.55;0.55;0;0;0 / 0;0;0;0;0;2024-25
Emerson Royal;MIL;17;5.62;5.47;0;0;0 / 0;0;0;5;0;2024-25
Svilar;ROM;38;6.39;5.46;0;35;0 / 0;0;0;1;0;2024-25
Toure' I.s.;UDI;11;5.64;5.45;1;0;0 / 0;0;0;2;2;2024-25
Niasse;VER;11;5.64;5.45;0;0;0 / 0;0;0;4;0;2024-25
Mandas;LAZ;9;6.22;5.44;0;7;0 / 0;0;0;0;0;2024-25
Petagna;MON;8;0.55;5.44;0;0;0 / 0;0;0;1;0;2024-25
Dani Silva;VER;7;0.55;5.43;0;0;0 / 0;0;0;1;0;2024-25
Ganvoula;MON;7;5.43;5.43;0;0;0 / 0;0;0;0;0;2024-25
Dawidowicz;VER;25;0.56;5.42;0;0;0 / 0;0;0;7;1;2024-25
Coulibaly W.;PAR;14;5.57;5.39;0;0;0 / 0;0;1;1;1;2024-25
De Gea;FIO;35;0.63;5.37;0;38;0 / 0;2;0;1;0;2024-25
Carnesecchi;ATA;34;6.37;5.35;0;34;0 / 0;0;0;1;0;2024-25
Sommer;INT;33;6.23;5.35;0;32;0 / 0;1;0;0;0;2024-25
Stankovic F.;VEN;16;6.62;5.34;0;23;0 / 0;1;0;1;0;2024-25
Terracciano;FIO;3;6.33;5.33;0;3;0 / 0;0;0;0;0;2024-25
Cerri;COM;3;5.33;5.33;0;0;0 / 0;0;0;0;0;2024-25
Rui Patricio;ATA;3;6.33;5.33;0;3;0 / 0;0;0;0;0;2024-25
Condè;VEN;3;0.55;5.33;0;0;0 / 0;0;0;2;0;2024-25
Danilo;JUV;8;5.31;5.31;0;0;0 / 0;0;1;2;0;2024-25
Palacios T.;MON;8;5.44;5.31;0;0;0 / 0;0;0;2;0;2024-25
Maignan;MIL;37;6.32;5.28;0;41;0 / 0;1;0;1;0;2024-25
Caprile;CAG;22;6.32;5.27;0;23;0 / 0;0;0;0;0;2024-25
Akpa Akpro;MON;14;5.39;5.25;0;0;0 / 0;0;0;4;0;2024-25
Gendrey;LEC;2;5.25;5.25;0;0;0 / 0;0;0;0;0;2024-25
Ebosse;UDI;2;0.55;5.25;0;0;0 / 0;0;0;1;0;2024-25
Candela;VEN;14;5.46;5.25;0;0;0 / 0;0;0;2;0;2024-25
Perilli;VER;2;6.25;5.25;0;2;0 / 0;0;0;0;0;2024-25
Siegrist;GEN;2;6.25;5.25;0;2;0 / 0;0;0;0;0;2024-25
Butez;COM;18;6.22;5.22;0;18;0 / 0;0;0;0;0;2024-25
Osorio;PAR;3;5.17;5.17;0;0;0 / 0;0;0;0;0;2024-25
Sagrado;VEN;3;5.33;5.17;0;0;0 / 0;0;0;1;0;2024-25
Di Gregorio;JUV;33;6.12;5.15;0;32;0 / 0;0;0;0;0;2024-25
Hermoso;ROM;5;0.53;0.51;0;0;0 / 0;0;0;0;1;2024-25
Radu I.;VEN;15;6.33;0.51;0;18;0 / 0;0;0;1;0;2024-25
Skorupski;BOL;27;6.2;5.07;0;33;0 / 0;1;0;1;0;2024-25
Leali;GEN;29;6.12;5.07;0;31;0 / 0;1;0;1;0;2024-25
Scalvini;ATA;4;5.25;0.5;0;0;0 / 0;0;0;2;0;2024-25
Sportiello;MIL;2;0.6;0.5;0;2;0 / 0;0;0;0;0;2024-25
Bartesaghi;MIL;3;5.33;0.5;0;0;0 / 0;0;0;0;1;2024-25
Lekovic;MON;7;5.21;4.93;0;0;0 / 0;0;0;0;0;2024-25
Otoa;GEN;3;5.33;4.83;0;0;0 / 0;0;0;1;1;2024-25
Ravaglia F.;BOL;12;5.96;4.79;0;14;0 / 0;0;0;0;0;2024-25
Sava;UDI;12;6.17;4.79;0;16;0 / 0;0;0;1;0;2024-25
Suzuki;PAR;37;6.23;4.77;0;53;0 / 0;0;0;0;1;2024-25
Turati;MON;30;0.63;4.75;0;52;0 / 0;2;0;1;0;2024-25
Falcone;LEC;38;6.21;4.74;0;58;0 / 0;1;0;2;0;2024-25
Vasquez D.;EMP;32;5.95;4.61;0;45;0 / 0;1;0;2;0;2024-25
Braunoder;COM;4;4.88;0.45;0;0;0 / 0;0;0;1;1;2024-25
Okoye;UDI;25;6.18;4.48;0;40;0 / 0;0;0;1;0;2024-25
Provedel;LAZ;29;5.91;4.47;0;42;0 / 0;0;0;0;0;2024-25
Reina;COM;12;5.71;4.46;0;14;0 / 0;0;0;0;1;2024-25
