player;team;appearances;average_rating;fantasy_average;goals;goals_conceded;penalties;penalties_saved;assists;yellow_cards;red_cards;season
Akinsanmiro;PIS;24;5,75;5,75;0;0;0 / 0;0;1;2;0;2025-26
Braschi;FIO;2;5,75;5,75;0;0;0 / 0;0;0;0;0;2025-26
Iling Junior;PIS;4;5,75;5,75;0;0;0 / 0;0;0;0;0;2025-26
Dia;LAZ;25;5,56;5,74;1;0;0 / 0;0;2;1;0;2025-26
Sohm;BOL;25;5,76;5,74;0;0;0 / 0;0;1;3;0;2025-26
Troilo;PAR;21;5,81;5,74;1;0;0 / 0;0;0;5;2;2025-26
Vranckx;SAS;15;5,8;5,73;0;0;0 / 0;0;0;2;0;2025-26
Edmundsson;VER;15;5,97;5,73;0;0;0 / 0;0;0;3;0;2025-26
Comuzzo;FIO;25;5,72;5,72;1;0;0 / 0;0;0;2;0;2025-26
Pierotti;LEC;37;5,66;5,72;1;0;0 / 0;0;1;4;0;2025-26
Bondo;CRE;27;5,81;5,72;0;0;0 / 0;0;0;5;0;2025-26
Valenti;PAR;27;5,85;5,72;0;0;0 / 0;0;0;7;0;2025-26
Amorim;GEN;9;5,78;5,72;0;0;0 / 0;0;0;1;0;2025-26
Ahanor;ATA;21;5,81;5,71;0;0;0 / 0;0;0;2;1;2025-26
Caracciolo A.;PIS;35;5,74;5,71;2;0;0 / 0;0;0;10;0;2025-26
Angelino;ROM;7;5,86;5,71;0;0;0 / 0;0;0;2;0;2025-26
Walukiewicz;SAS;34;5,79;5,71;0;0;0 / 0;0;1;7;0;2025-26
Carnesecchi;ATA;37;6,49;5,70;0;35;0 / 0;2;0;0;0;2025-26
Helgason;LEC;5;5,7;5,7;0;0;0 / 0;0;0;0;0;2025-26
Piccinini G.;PIS;23;5,76;5,70;0;0;0 / 0;0;0;3;0;2025-26
Doig;SAS;27;5,80;5,70;0;0;0 / 0;0;0;5;0;2025-26
Payero;CRE;25;5,74;5,7;1;0;0 / 0;0;0;8;0;2025-26
Pellegrini Lu.;LAZ;24;5,73;5,69;1;0;0 / 0;0;0;8;0;2025-26
Ebosse;TOR;16;5,72;5,69;0;0;0 / 0;0;1;4;0;2025-26
Ndaba;LEC;11;5,68;5,68;0;0;0 / 0;0;0;0;0;2025-26
Gabbia;MIL;30;5,75;5,68;0;0;0 / 0;0;0;4;0;2025-26
Marianucci;TOR;11;5,68;5,68;0;0;0 / 0;0;1;2;0;2025-26
Lazaro;TOR;30;5,68;5,68;0;0;0 / 0;0;2;4;0;2025-26
"Z&#xE8; Pedro";CAG;22;5,77;5,68;0;0;0 / 0;0;1;6;0;2025-26
Fazzini;FIO;15;5,73;5,67;0;0;0 / 0;0;0;2;0;2025-26
Lazzari;LAZ;18;5,72;5,67;0;0;0 / 0;0;0;2;0;2025-26
Hysaj;LAZ;3;5,67;5,67;0;0;0 / 0;0;0;0;0;2025-26
Gaspar K.;LEC;21;5,86;5,67;0;0;0 / 0;0;0;6;1;2025-26
Hernani;PAR;3;5,67;5,67;0;0;0 / 0;0;0;0;0;2025-26
Meister;PIS;27;5,48;5,67;2;0;0 / 0;0;0;2;0;2025-26
Moro L.;SAS;6;5,75;5,67;0;0;0 / 0;0;0;1;0;2025-26
Goglichidze;UDI;6;5,83;5,67;0;0;0 / 0;0;0;2;0;2025-26
"Cand&#xE8;";SAS;9;5,78;5,67;0;0;0 / 0;0;0;2;0;2025-26
Cremaschi;PAR;3;5,67;5,67;0;0;0 / 0;0;0;0;0;2025-26
Mlacic;UDI;6;5,83;5,67;0;0;0 / 0;0;0;2;0;2025-26
Pezzella Giu.;CRE;31;5,79;5,66;0;0;0 / 0;0;1;8;1;2025-26
Pongracic;FIO;35;5,83;5,66;0;0;0 / 0;0;0;12;0;2025-26
Zemura;UDI;16;5,75;5,66;0;0;0 / 0;0;0;3;0;2025-26
Koopmeiners;JUV;31;5,73;5,65;0;0;0 / 0;0;0;5;0;2025-26
Ngom;LEC;13;5,69;5,65;0;0;0 / 0;0;0;1;0;2025-26
Floriani Mussolini;CRE;21;5,64;5,64;0;0;0 / 0;0;1;2;0;2025-26
Belahyane;LAZ;11;5,59;5,64;0;0;0 / 0;0;2;1;1;2025-26
Ordonez C.;PAR;22;5,61;5,64;1;0;0 / 0;0;0;3;1;2025-26
Vural;PIS;14;5,79;5,64;0;0;0 / 0;0;0;4;0;2025-26
Kulenovic;TOR;7;5,57;5,64;0;0;0 / 0;0;1;2;0;2025-26
Nelsson;VER;38;5,74;5,63;0;0;0 / 0;0;0;4;0;2025-26
Al-Musrati;VER;15;5,77;5,63;0;0;0 / 0;0;1;4;1;2025-26
Pessina Mas.;BOL;4;6,12;5,62;0;2;0 / 0;0;0;0;0;2025-26
Sabelli;GEN;13;5,77;5,62;0;0;0 / 0;0;0;0;0;2025-26
Rugani;FIO;8;5,75;5,62;0;0;0 / 0;0;0;2;0;2025-26
Gimenez;MIL;16;5,62;5,62;0;0;0 / 0;0;1;2;0;2025-26
Ondrejka;PAR;16;5,69;5,62;0;0;0 / 0;0;0;2;0;2025-26
Palma;UDI;4;5,62;5,62;0;0;0 / 0;0;0;0;0;2025-26
Britschgi;PAR;28;5,68;5,62;0;0;0 / 0;0;2;5;1;2025-26
Ratkov;LAZ;8;5,62;5,62;0;0;0 / 0;0;0;0;0;2025-26
Akpa Akpro;VER;22;5,68;5,61;1;0;0 / 0;0;0;9;0;2025-26
Tsimikas;ROM;16;5,62;5,59;0;0;0 / 0;0;0;1;0;2025-26
Camarda;LEC;19;5,61;5,58;1;0;0 / 1;0;0;1;0;2025-26
Lovik;PAR;6;5,58;5,58;0;0;0 / 0;0;0;0;0;2025-26
Calabresi;PIS;26;5,73;5,58;0;0;0 / 0;0;0;8;0;2025-26
Bailey;ROM;6;5,58;5,58;0;0;0 / 0;0;0;0;0;2025-26
Maleh;CRE;22;5,55;5,57;1;0;0 / 0;0;0;3;1;2025-26
Ilic;TOR;8;5,69;5,56;0;0;0 / 0;0;0;2;0;2025-26
Casale;BOL;10;5,55;5,55;0;0;0 / 0;0;0;0;0;2025-26
Kaba;LEC;11;5,59;5,55;0;0;0 / 0;0;0;1;0;2025-26
Valentini N.;VER;19;5,76;5,55;0;0;0 / 0;0;0;6;1;2025-26
Suslov;VER;10;5,7;5,55;0;0;0 / 0;0;0;1;1;2025-26
Milinkovic-Savic V.;NAP;27;6,09;5,54;0;24;0 / 0;3;0;0;0;2025-26
Maignan;MIL;37;6,36;5,53;0;35;0 / 0;2;0;4;0;2025-26
Immobile;BOL;6;5,58;5,5;0;0;0 / 0;0;0;1;0;2025-26
Di Pardo;CAG;1;5,5;5,5;0;0;0 / 0;0;0;0;0;2025-26
Gronbaek;GEN;3;5,67;5,5;0;0;0 / 0;0;0;1;0;2025-26
Perez M.;LEC;1;5,5;5,5;0;0;0 / 0;0;0;0;0;2025-26
Juan Jesus;NAP;22;5,73;5,5;0;0;0 / 0;0;0;8;1;2025-26
Boloca;SAS;2;5,5;5,5;0;0;0 / 0;0;0;0;0;2025-26
Tameze;TOR;19;5,55;5,5;0;0;0 / 0;0;0;3;0;2025-26
Padelli;UDI;2;6,5;5,5;0;2;0 / 0;0;0;0;0;2025-26
Oyegoke;VER;10;5,6;5,5;0;0;0 / 0;0;0;2;0;2025-26
Denoon;PIS;2;5,75;5,5;0;0;0 / 0;0;0;1;0;2025-26
Fini;GEN;1;5,5;5,5;0;0;0 / 0;0;0;0;0;2025-26
Stengs;PIS;1;5,5;5,5;0;0;0 / 0;0;0;0;0;2025-26
Lamptey;FIO;1;5,5;5,5;0;0;0 / 0;0;0;0;0;2025-26
Fofana Sa.;LEC;2;5,5;5,5;0;0;0 / 0;0;0;0;0;2025-26
Mikolajewski;PAR;1;5,5;5,5;0;0;0 / 0;0;0;0;0;2025-26
Svilar;ROM;38;6,30;5,49;0;31;0 / 0;0;0;0;0;2025-26
Tete Morente;LEC;15;5,47;5,47;0;0;0 / 0;0;1;2;0;2025-26
Hojholt;PIS;15;5,53;5,47;0;0;0 / 0;0;0;2;0;2025-26
Unai Nunez;VER;17;5,74;5,47;0;0;0 / 0;0;0;5;0;2025-26
"Mar&#xEC;";FIO;10;5,6;5,45;0;0;0 / 0;0;0;3;0;2025-26
Bonfanti;PIS;9;5,5;5,44;0;0;0 / 0;0;0;1;0;2025-26
Asllani;TOR;15;5,73;5,43;0;0;0 / 1;0;0;3;0;2025-26
Provedel;LAZ;27;6,33;5,43;0;27;0 / 0;1;0;1;0;2025-26
Viti;FIO;6;5,67;5,42;0;0;0 / 0;0;0;1;1;2025-26
Aboukhlal;TOR;12;5,58;5,42;0;0;0 / 0;0;0;4;0;2025-26
Otoa;GEN;10;5,65;5,4;0;0;0 / 0;0;0;1;0;2025-26
Lirola;VER;5;5,5;5,4;0;0;0 / 0;0;0;1;0;2025-26
Marin M.;PIS;22;5,55;5,39;0;0;0 / 0;0;0;7;0;2025-26
Butez;COM;38;6,08;5,38;0;29;0 / 0;1;1;3;0;2025-26
Ceccherini;CRE;8;5,44;5,38;0;0;0 / 0;0;1;1;1;2025-26
Kouassi;LEC;4;5,38;5,38;0;0;0 / 0;0;0;0;0;2025-26
Cham;VER;4;5,38;5,38;0;0;0 / 0;0;0;0;0;2025-26
Ndiaye;PAR;11;5,59;5,36;0;0;0 / 0;0;0;3;1;2025-26
Stojilkovic;PIS;13;5,35;5,35;0;0;0 / 0;0;0;0;0;2025-26
Morata;COM;20;5,58;5,32;0;0;0 / 1;0;0;2;1;2025-26
Falcone;LEC;38;6,49;5,30;0;50;0 / 0;2;0;2;0;2025-26
Di Gregorio;JUV;30;6,03;5,28;0;25;0 / 0;1;0;1;0;2025-26
Martinez Jo.;INT;5;6,0;5,2;0;4;0 / 0;0;0;0;0;2025-26
Skorupski;BOL;18;6,11;5,19;0;15;0 / 0;0;0;1;1;2025-26
Meret;NAP;11;6,23;5,18;0;12;0 / 0;0;1;1;0;2025-26
Mateus Lusuardi;PIS;3;5,33;5,17;0;0;0 / 0;0;0;1;0;2025-26
Corvi;PAR;17;6,21;5,12;0;18;0 / 0;0;0;1;0;2025-26
